City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
0,Mersing,MY,78.51,moderate rain,2.4312,103.8405,Timotel Hotel
5,Roswell,US,72.09,overcast clouds,34.0232,-84.3616,La Quinta Inn & Suites by Wyndham Atlanta Roswell
7,Butaritari,KI,81.77,few clouds,3.0707,172.7902,Isles Sunset Lodge
9,Vaini,TO,81.32,overcast clouds,-21.2,-175.2,Keleti Beach Resort
16,Manggar,ID,79.81,broken clouds,-2.8833,108.2667,Guest Hotel
24,Hobyo,SO,82.98,light rain,5.3505,48.5268,Iftin hotel hobyo
26,Katiola,CI,74.05,light rain,8.1333,-5.1,Auberge Residence Yebin
27,Sitia,GR,62.98,scattered clouds,35.2,26.0986,Sitia Bay
30,Vung Tau,VN,81.88,scattered clouds,10.346,107.0843,Seaside Resort
32,Avarua,CK,82.45,overcast clouds,-21.2078,-159.775,Paradise Inn
38,Rikitea,PF,78.42,clear sky,-23.1203,-134.9692,People ThankYou
41,Arraial Do Cabo,BR,73.26,clear sky,-22.9661,-42.0278,Pousada Porto Praia
44,Chuy,UY,62.11,overcast clouds,-33.6971,-53.4616,Nuevo Hotel Plaza
45,Cape Town,ZA,62.35,broken clouds,-33.9258,18.4232,"Radisson Blu Hotel Waterfront, Cape Town"
48,Basco,PH,76.59,overcast clouds,20.4487,121.9702,Nathaniel's Lodge
49,Kavaratti,IN,82.74,broken clouds,10.5669,72.642,Hotels in Lakshadweep Islands
54,Flinders,AU,74.05,broken clouds,-34.5833,150.8552,Shellharbour Resort & Conference Centre
55,Atuona,PF,79.74,clear sky,-9.8,-139.0333,Villa Enata
57,Hermanus,ZA,61.81,broken clouds,-34.4187,19.2345,Misty Waves Boutique Hotel
58,Alice Springs,AU,71.15,few clouds,-23.7,133.8833,Desert Palms Alice Springs
59,Oyama,JP,61.59,overcast clouds,36.3,139.8,Toyoko Inn Oyama-eki Higashi-guchi No.1
60,Tanete,ID,76.39,overcast clouds,-3.9443,119.7848,Wisma Tri Multi
62,Saint-Philippe,RE,74.79,light rain,-21.3585,55.7679,"Chambres d'hôte ""La Trinité"""
70,Peniche,PT,60.3,scattered clouds,39.3558,-9.3811,Hotel Star inn Peniche
71,Mwinilunga,ZM,61.79,overcast clouds,-11.7358,24.4293,Kwakuwahi Lodge
72,Chaman,PK,74.52,overcast clouds,30.9236,66.4512,Niamat parda Center chaman
73,Cortez,US,66.04,clear sky,37.3489,-108.5859,Sand Canyon National 9 Inn
75,Bambous Virieux,MU,75.22,light rain,-20.3428,57.7575,Casa Tia Villa
