,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
0,Mersing,MY,2.4312,103.8405,78.51,87,55,3.13,moderate rain
1,Iqaluit,CA,63.7506,-68.5145,-0.31,64,71,11.01,broken clouds
2,Coquimbo,CL,-29.9533,-71.3436,58.95,82,6,2.51,clear sky
3,Moose Factory,CA,51.2585,-80.6094,22.98,70,66,6.76,broken clouds
4,Bluff,NZ,-46.6,168.3333,55.8,73,7,7.34,clear sky
5,Roswell,US,34.0232,-84.3616,72.09,68,99,1.7,overcast clouds
6,Punta Arenas,CL,-53.15,-70.9167,46.11,93,100,3.2,light rain
7,Butaritari,KI,3.0707,172.7902,81.77,74,12,11.81,few clouds
8,Verkhnevilyuysk,RU,63.4453,120.3167,32.11,98,100,7.27,light snow
9,Vaini,TO,-21.2,-175.2,81.32,79,97,13.31,overcast clouds
10,Airai,TL,-8.9266,125.4092,64.13,82,78,1.99,broken clouds
11,Ushuaia,AR,-54.8,-68.3,47.86,81,100,26.46,light rain
12,Hobart,AU,-42.8794,147.3294,57.02,92,75,5.75,broken clouds
13,Warrnambool,AU,-38.3833,142.4833,58.8,83,100,11.25,heavy intensity rain
14,Barrow,US,71.2906,-156.7887,5.02,78,0,8.05,clear sky
15,Nanhai,CN,30.1282,111.7784,52.29,86,99,4.23,overcast clouds
16,Manggar,ID,-2.8833,108.2667,79.81,81,63,1.88,broken clouds
17,Qiyang,CN,26.5911,111.8474,52.21,95,100,1.16,overcast clouds
18,Bethel,US,41.3712,-73.414,46.94,43,77,1.99,broken clouds
19,Khani,GE,41.9563,42.9566,58.57,61,75,9.01,broken clouds
20,Tromso,NO,69.6496,18.957,42.82,81,75,12.66,broken clouds
21,Yellowknife,CA,62.456,-114.3525,19.56,44,98,13.0,overcast clouds
22,Hamilton,US,39.1834,-84.5333,51.89,44,99,7.0,overcast clouds
23,New Norfolk,AU,-42.7826,147.0587,56.66,69,100,3.0,overcast clouds
24,Hobyo,SO,5.3505,48.5268,82.98,77,66,14.05,light rain
25,Saldanha,ZA,-33.0117,17.9442,59.16,85,19,10.56,few clouds
