City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
0,Gilgit,PK,2022-04-09 02:04:04,35.9221,74.3087,63.28,43,100,2.53
1,Souillac,MU,2022-04-09 02:01:26,-20.5167,57.5167,77.34,83,68,13.4
2,Lebu,CL,2022-04-09 02:04:05,-37.6167,-73.65,52.65,90,3,5.64
3,Torbay,CA,2022-04-09 01:57:20,47.6666,-52.7314,30.76,89,75,9.22
4,Palmas De Monte Alto,BR,2022-04-09 02:04:05,-14.2672,-43.1619,74.25,39,0,5.66
5,Batangafo,CF,2022-04-09 02:04:05,7.3008,18.2833,75.43,73,97,5.68
6,Port Hardy,CA,2022-04-09 02:04:06,50.6996,-127.4199,43.07,78,45,17.25
7,Rikitea,PF,2022-04-09 02:04:06,-23.1203,-134.9692,79.45,74,11,16.6
8,Nouakchott,MR,2022-04-09 01:57:23,18.0858,-15.9785,71.53,60,2,12.28
9,Cape Town,ZA,2022-04-09 02:00:59,-33.9258,18.4232,59.92,70,0,11.99
10,Atuona,PF,2022-04-09 02:04:07,-9.8,-139.0333,79.79,78,64,16.64
11,Kapaa,US,2022-04-09 02:04:07,22.0752,-159.319,79.12,76,20,16.11
12,Port Alfred,ZA,2022-04-09 02:04:07,-33.5906,26.891,61.83,78,86,9.93
13,Palau,PW,2022-04-09 02:04:08,7.503,134.621,80.56,78,100,11.5
14,Tonj,SS,2022-04-09 02:00:23,7.2737,28.6822,81.73,48,4,1.97
15,Lima,PE,2022-04-09 02:04:08,-12.0432,-77.0282,65.39,23,75,3.44
16,Ampanihy,MG,2022-04-09 02:04:08,-24.7,44.75,73.58,85,100,9.82
17,Adrar,MR,2022-04-09 01:57:15,20.5022,-10.0711,71.29,13,0,10.25
18,Esperance,AU,2022-04-09 02:04:09,-33.8667,121.9,62.44,61,99,18.54
19,Narsaq,GL,2022-04-09 02:04:09,60.9167,-46.05,34.02,78,26,2.06
20,Mayo,US,2022-04-09 01:56:09,38.8876,-76.5119,54.48,79,0,9.22
21,Busselton,AU,2022-04-09 02:04:07,-33.65,115.3333,62.76,50,34,9.31
22,Gornopravdinsk,RU,2022-04-09 02:04:09,60.05,69.9,16.72,84,14,2.39
23,Tomatlan,MX,2022-04-09 02:04:10,19.9333,-105.25,68.76,91,93,2.73
24,Hobart,AU,2022-04-09 02:00:00,-42.8794,147.3294,74.23,51,20,11.5
25,Khatanga,RU,2022-04-09 01:56:03,71.9667,102.5,8.8,93,69,3.49
26,Castro,BR,2022-04-09 02:01:11,-24.7911,-50.0119,63.28,94,94,3.31
27,Harper,LR,2022-04-09 02:04:10,4.375,-7.7169,80.74,83,100,6.82
28,Bluff,NZ,2022-04-09 02:04:11,-46.6,168.3333,57.7,71,90,18.97
29,Flinders,AU,2022-04-09 02:04:11,-34.5833,150.8552,71.19,89,60,4.0
30,Rio Gallegos,AR,2022-04-09 02:04:11,-51.6226,-69.2181,47.26,75,100,5.28
31,Mar Del Plata,AR,2022-04-09 02:00:30,-38.0023,-57.5575,65.08,92,76,11.99
32,New Norfolk,AU,2022-04-09 02:04:12,-42.7826,147.0587,73.89,45,6,1.99
33,Vaini,TO,2022-04-09 02:04:12,-21.2,-175.2,80.76,89,75,4.61
34,Cherskiy,RU,2022-04-09 02:04:12,68.75,161.3,-5.57,83,26,4.94
35,Channel-Port Aux Basques,CA,2022-04-09 02:00:46,47.5702,-59.1367,34.54,92,83,22.59
36,Butaritari,KI,2022-04-09 02:04:13,3.0707,172.7902,80.26,83,100,13.31
37,Qaanaaq,GL,2022-04-09 02:04:13,77.484,-69.3632,-5.58,64,0,7.09
38,Kavaratti,IN,2022-04-09 02:04:13,10.5669,72.642,83.41,71,100,6.96
39,Ostrovnoy,RU,2022-04-09 02:04:14,68.0531,39.5131,32.45,97,100,21.72
40,Kodiak,US,2022-04-09 02:04:14,57.79,-152.4072,33.31,40,0,23.02
41,Bunia,CD,2022-04-09 02:04:14,1.5667,30.25,63.82,78,46,3.24
42,Longyearbyen,SJ,2022-04-09 02:04:15,78.2186,15.6401,17.44,73,75,16.11
43,Lorengau,PG,2022-04-09 02:04:15,-2.0226,147.2712,78.93,83,100,3.09
44,Abha,SA,2022-04-09 02:04:15,18.2164,42.5053,53.85,35,0,0.0
